"1","2","C2","20","daily","German","yes","Chinese, Japanese, Vietnamese, Latin, French, Russian"
"3","6","C2","19","daily","Italian","yes","French, German"
"5","8","C1","6","daily","Arabic","yes","German, Spanish"
"6","10","C1","15","never","Russian","yes","German, Portuguese"
"7","12","C2","9","daily","German","yes","French"
"8","11","C2","10","daily","German","yes","Japanese, Spanish"
"10","14","C2","10","weekly","German","yes","Italian, French"
"11","15","B2","5","daily","German","yes","Spanish, Latin, Finnish"
"12","16","C1","18","daily","Spanish","yes","French, Korean, German"
"13","17","C2","10","daily","Chinese","yes",
"14","18","C1","9","daily","German","yes","Latin, Spanish"
"15","19","C2","11","weekly","german","yes","Italian, Spanish, French"
"17","21","C2","20","daily","German","yes","French "
"18","22","C1","8","daily","Turkish","yes","German"
"19","24","B1","0","daily","German","no",
"20","5","C1","0","never","German","yes","Latin, French"
"21","26","C2","9","weekly","German","yes","French, Latin, Russian, Spanish"
"22","27","C1","8","daily","Turkish","yes","German, Spanish, Arabic"
"23","28","B2","4","daily","german","no",
"24","29","B2","14","daily","Chinese","yes","German"
"26","30","B2","9","never","German","yes","French, Latin, Japanese, Spanish"
"27","23","C1","15","weekly","chinese","no","German"
"28","32","C2","25","daily","Hindi","yes","Urdu, German"
"29","33","B2","10","daily","German","yes","Spanish"
"30","34","B2","8","daily","German","yes","French"
"31","36","C1","11","monthly","German","yes","Spanish and Dutch"
"33","37","C2","10","daily","Russian/Kyrgyz","yes","German, Turkish, French"
"34","38","B1","10","daily","Korean","yes","French"
"35","40","B2","7","monthly","German","yes","Latin"
"36","41","C1","0","weekly","German ","yes","Latin"
"37","42","C2","28","daily","Croatian","yes","German, Italian"
"38","43","C2","8","daily","German","yes","Hungarian"
"39","44","C1","8","weekly","German","yes","Japanese"
"41","46","C1","10","weekly","German","yes","French"
"42","50","B2","8","daily","German","yes","French"
"43","52","C1","0","daily","german","yes","Italian, french"
"44","53","C1","7","daily","Vietnamese","yes","Chinese, German"
"46","54","C1","7","weekly","German","no",
"47","56","C2","22","daily","German","yes","Latin, Russian, Portuguese"
"48","58","C2","10","daily","German","yes","French"
